GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS457698858	2017-01-16 19:29:49	20094	species	Canada Jay	Perisoreus canadensis			1				Canada	CA	Alberta	CA-AB	Banff	CA-AB-FN		10			Banff National Park--Moose Meadows	L1468658	H	51.2546379	-115.8653782	2011-07-07	09:00:00	obsr17138	S33710134	Stationary	P21	EBIRD	30			2	1	G2148963	0	1	0		Observers: Diane Demers and Matt Medler. Clear, calm, ~15C.	
URN:CornellLabOfOrnithology:EBIRD:OBS96428752	2015-11-12 14:16:17	20094	species	Canada Jay	Perisoreus canadensis			2				Canada	CA	Yukon Territory	CA-YT	Yukon	CA-YT-YT		4			Whitehorse--Miles Canyon	L909412	H	60.6662246	-135.0298605	2010-05-30	09:00:00	obsr194695	S6727265	Traveling	P22	EBIRD	90	1.5		2	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS154988211	2012-06-01 10:23:02	20094	species	Canada Jay	Perisoreus canadensis			1				Canada	CA	Ontario	CA-ON	Thunder Bay	CA-ON-TB		8			White Otter River N of Lemay Rd	L1564411	P	49.35971	-85.91542	2012-05-17	11:29:00	obsr281537	S10885226	Traveling	P22	EBIRD_CAN	14	.805		2	1	G421329	0	1	0		with C.D. Jones	calling
URN:CornellLabOfOrnithology:EBIRD:OBS302236373	2018-08-06 16:02:37	20094	species	Canada Jay	Perisoreus canadensis			1				Canada	CA	Alberta	CA-AB	Fort McMurray	CA-AB-ST		6			FT03814	L3471856	P	55.812339	-110.642797	2012-06-14	08:25:00	obsr604408	S22276759	Stationary	P21	EBIRD	10			1	1		0	1	0		Google--joint oil sands monitoring landbirds--for background info and link to more detailed data (or see http://jointoilsandsmonitoring.ca/default.asp?lang=En&n=1689F062-1)	
URN:CornellLabOfOrnithology:EBIRD:OBS113016861	2013-11-13 15:49:26	20094	species	Canada Jay	Perisoreus canadensis			2				Canada	CA	Manitoba	CA-MB	Churchill and Northern Manitoba	CA-MB-EE	CA-MB_003	7			Churchill--Twin Lakes Rd.	L349501	H	58.69846	-93.85119	2010-06-28	08:30:00	obsr170161	S7893762	Traveling	P22	EBIRD_CAN	105	5.23		4	1	G241094	0	1	0		08:30 - 10:15.  Drove from Studies Centre area south to the fen.	
URN:CornellLabOfOrnithology:EBIRD:OBS152695814	2014-10-06 20:19:32	20094	species	Canada Jay	Perisoreus canadensis			2				Canada	CA	Newfoundland and Labrador	CA-NL	Labrador-Happy Valley-Goose Bay	CA-NL-TE		8			Labrador City	L141390	T	52.9500809	-66.9193573	2012-05-13	09:00:00	obsr19197	S10734754	Traveling	P22	EBIRD	120	12.875		1	1		0	1	0		town	
URN:CornellLabOfOrnithology:EBIRD:OBS107179869	2018-01-31 12:33:19	20094	species	Canada Jay	Perisoreus canadensis			2				Canada	CA	Ontario	CA-ON	Thunder Bay	CA-ON-TB		8			Town of Marathon--Steedman Dr.	L973442	P	48.7167901	-86.3744473	2011-01-08	11:00:00	obsr208117	S7533372	Stationary	P21	EBIRD_CAN	120			1	1		0	1	0		''Enjoyed the grand slam of redpoll subspecies - photos here:--http://northshorenature.blogspot.com/2011/01/hornemanns-hoary-and-greater-common.html	
URN:CornellLabOfOrnithology:EBIRD:OBS94758881	2018-08-05 12:40:36	20094	species	Canada Jay	Perisoreus canadensis			2				Canada	CA	Yukon Territory	CA-YT	Yukon	CA-YT-YT		4			Albert Creek--Albert Creek Bird Observatory	L479902	H	60.0618421	-128.9165783	2010-06-03	06:00:00	obsr135493	S6600311	Stationary	P21	EBIRD_CAN	120			1	1	G179172	0	1	0		+10, calm, 100%, rain started at 7:30am.--Total 3 banded, 4 recaptured.--Jukka Jantunen	
URN:CornellLabOfOrnithology:EBIRD:OBS135234515	2017-08-15 16:18:39	20094	species	Canada Jay	Perisoreus canadensis			8				Canada	CA	Manitoba	CA-MB	Eastern Manitoba - Eastman	CA-MB-ON		12			Old 15 / Lewis Road	L1100022	P	49.8698363	-96.0621357	2012-01-05	08:40:00	obsr245296	S9512561	Traveling	P22	EBIRD_CAN	120	23		3	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS96465159	2017-10-19 11:16:16	20094	species	Canada Jay	Perisoreus canadensis			3				Canada	CA	Yukon Territory	CA-YT	Yukon	CA-YT-YT		4			Tombstone Territorial  Park--Tombstone campground	L344598	H	64.505176	-138.2212257	2010-06-10	09:15:00	obsr194695	S6730041	Traveling	P22	EBIRD	90	.5		12	1		0	1	0		Hawk Owls south of interpretive center about 0.5 Km	
URN:CornellLabOfOrnithology:EBIRD:OBS169615123	2015-10-22 16:04:18	20094	species	Canada Jay	Perisoreus canadensis			3				Canada	CA	Ontario	CA-ON	Nipissing	CA-ON-NP		12			Algonquin Park, ON	L1805355	P	45.580589	-78.6982119	2011-08-14	10:00:00	obsr300105	S12036014	Traveling	P22	EBIRD	60	3		15	0		0	1	0		this was along old rail line off Arrowonn Rd	
URN:CornellLabOfOrnithology:EBIRD:OBS380943714	2016-03-12 22:56:57	20094	species	Canada Jay	Perisoreus canadensis			2				Canada	CA	British Columbia	CA-BC	Bulkley-Nechako	CA-BC-BN		10			Binta-Ootsanee Forest Service Road (10CE36-11)	L4377354	P	53.788814	-125.45077	2012-07-04	07:37:00	obsr501041	S28133118	Stationary	P21	EBIRD	5			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS143978488	2012-10-05 14:05:40	20094	species	Canada Jay	Perisoreus canadensis			4				Canada	CA	Ontario	CA-ON	Nipissing	CA-ON-NP		12			Algonquin Provincial Park--Spruce Bog Boardwalk	L351718	H	45.589051	-78.3709067	2012-03-10	10:50:00	obsr277578	S10135422	Traveling	P22	EBIRD	80	3		1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS302249060	2016-08-01 13:25:14	20094	species	Canada Jay	Perisoreus canadensis			1				Canada	CA	Alberta	CA-AB	Slave Lake	CA-AB-SN		6			RE01319	L3473988	P	56.044654	-114.17943	2012-06-30	07:08:00	obsr604408	S22278403	Stationary	P21	EBIRD	10			1	1		0	1	0		Google--joint oil sands monitoring landbirds--for background info and link to more detailed data	
URN:CornellLabOfOrnithology:EBIRD:OBS262661347	2014-07-06 21:31:10	20094	species	Canada Jay	Perisoreus canadensis			2				Canada	CA	Manitoba	CA-MB	Churchill and Northern Manitoba	CA-MB-EE		7			atlas square: 15WB58 ( No. 507839)	L1261093	P	55.8509418	-92.0431516	2011-07-03	07:56:00	obsr121883	S19014060	Stationary	P21	EBIRD	5			1	1		0	1	0		Manitoba Breeding Bird Atlas Point Count	
URN:CornellLabOfOrnithology:EBIRD:OBS157747598	2017-03-03 15:46:48	20094	species	Canada Jay	Perisoreus canadensis			1				Canada	CA	Alberta	CA-AB	Edson	CA-AB-FT		6			Moberly Drive, Hinton	L684799	P	53.3875304	-117.632761	2012-06-30	09:00:00	obsr116402	S11081048	Stationary	P21	EBIRD_CAN	30			1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS171277487	2015-01-09 21:50:56	20094	species	Canada Jay	Perisoreus canadensis			2				Canada	CA	Alberta	CA-AB	Banff	CA-AB-FN		10			Calgary Count Circle - Powderface Trail	L1803924	P	50.91583	-114.92054	2012-11-29	10:00:00	obsr267531	S12187820	Traveling	P22	EBIRD	60	.5		1	1		0	1	0			
URN:CornellLabOfOrnithology:EBIRD:OBS144640244	2014-05-08 14:36:57	20094	species	Canada Jay	Perisoreus canadensis			1				Canada	CA	British Columbia	CA-BC	Fraser-Fort George	CA-BC-FF		10			atlas square: 10DG65 ( No. 326258)	L1454479	P	55.5616631	-123.5888083	2011-06-17	07:41:00	obsr173519	S10185964	Stationary	P21	EBIRD_CAN	5			1	1		0	1	0		British Columbia Breeding Bird Atlas Point Count	
URN:CornellLabOfOrnithology:EBIRD:OBS158215761	2012-07-07 20:24:35	20094	species	Canada Jay	Perisoreus canadensis			3	FL	C4	Unknown Sex, Adult (1); Unknown Sex, Juvenile (2)	Canada	CA	British Columbia	CA-BC	Northern Rockies	CA-BC-NR		4			Summit Lake--Microwave Tower Trail	L1616180	P	58.6378407	-124.6760338	2012-06-20	11:15:00	obsr150594	S11117642	Traveling	P22	EBIRD_CAN	60	1.609		1	1		0	1	0			
